Message,PartPlace,VacuumAN
WX31D79H3KD9,1.026,6.812
WX31D79H3LEU,1.026,6.812
WX31D79H3E0P,1.026,6.812
WX31D79H3VHS,1.026,6.812
WX31D79H3ZYU,1.008,4.712
WX31D79H3NRS,1.044,6.763
WX31D79H38J9,1.026,6.812
WX31D79H3UKZ,1.008,4.712
WX31D79H3RSS,1.008,4.712
WX31D79H3LS4,1.008,4.712
WX31D79H3H7V,1.008,4.712
WX31D79H3D04,1.026,6.812
WX31D79H3E2D,0.99,6.587
WX31D79H3SXH,1.026,6.812
WX31D79H3C30,0.99,6.587
WX31D79H3FTL,1.008,4.712
WX31D79H3V1H,1.008,4.712
WX31D79H3HYK,1.008,4.712
WX31D79H37C0,1.044,6.763
WX31D79H3S93,1.044,6.763
WX31D79H3ZC0,1.044,6.763
WX31D79H3ZAV,0.99,6.587
WX31D79H3S5L,1.026,6.812
WX31D79H3PR4,0.99,6.587
WX31D79H306Y,1.026,6.812
WX31D79H3NKS,1.026,6.812
WX31D79H31Z0,1.044,6.763
WX31D79H3YYU,1.044,6.763
WX31D79H3T5V,1.026,6.812
WX31D79H3HJX,0.99,6.587
WX31D79H350J,1.026,6.812
WX31D79H32X6,1.008,4.712
WX31D79H3E2X,1.026,6.812
WX31D79H3NVC,1.026,6.812
WX31D79H3EAJ,1.026,6.812
WX31D79H3E3A,1.026,6.812
WX31D79H3HST,1.026,6.812
WX31D79H31L8,1.008,4.712
WX31D79H3448,1.026,6.812
WX31D79H34P0,1.008,4.712
WX31D79H37RF,1.026,6.812
WX31D79H35FF,1.044,6.763
WX31D79H322U,1.026,6.812
WX31D79H36D1,1.026,6.812
WX31D79H31VT,1.008,4.712
WX31D79H3RS9,1.008,4.712
WX31D79H3LXU,1.044,6.763
WX31D79H3LE2,1.044,6.763
WX31D79H324J,1.026,6.812
WX31D79H36DP,1.008,4.712
WX31D79H3CRN,1.026,6.812
WX31D79H3H1T,0.99,6.587
WX31D79H3U24,1.044,6.763
WX31D79H3U82,1.008,4.712
WX31D79H3AC1,0.99,6.587
WX31D79H3U4R,1.026,6.812
WX31D79H31YK,1.044,6.763
WX31D79H3VXE,1.008,4.712
WX31D79H3ZK7,0.99,6.587
WX31D79H3Y7P,1.026,6.812
WX31D79H31UD,1.026,6.812
WX31D79H39SK,1.026,6.812
WX31D79H3RL5,1.026,6.812
WX31D79H3NVE,1.026,6.812
WX31D79H3661,1.008,4.712
WX31D79H3YNN,1.044,6.763
WX31D79H3N8L,0.99,6.587
WX31D79H3R3R,1.008,4.712
WX31D79H3YFR,1.026,6.812
WX31D79H3PZT,1.008,4.712
WX31D79H3JEK,1.026,6.812
WX31D79H38HZ,1.008,4.712
WX31D79H31A9,1.008,4.712
WX31D79H365N,1.008,4.712
WX31D79H3CVS,1.026,6.812
WX31D79H3J1E,0.99,6.587
WX31D79H3RR2,1.026,6.812
WX31D79H3EZ4,1.026,6.812
WX31D79H3AYS,1.008,4.712
WX31D79H3L3D,1.026,6.812
WX31D79H3SZS,1.044,6.763
WX31D79H3S01,0.99,6.587
WX31D79H3N7X,1.026,6.812
WX31D79H3SDD,1.008,4.712
WX31D79H3XU5,1.008,4.712
WX31D79H37P1,0.99,6.587
WX31D79H3ARP,1.008,4.712
WX31D79H3SNY,1.026,6.812
WX31D79H393T,0.99,6.587
WX31D79H38FT,0.99,6.587
WX31D79H3YTC,0.99,6.587
WX31D79H3S1E,1.044,6.763
WX31D79H3YDJ,1.026,6.812
WX31D79H3FCX,0.99,6.587
WX31D79H3AND,1.008,4.712
WX31D79H31ZR,1.044,6.763
WX31D79H34L3,1.026,6.812
WX31D79H36Z9,0.99,6.587
WX31D79H3AHX,0.99,6.587
WX31D79H37D0,0.99,6.587
WX31D79H3699,1.026,6.812
WX31D79H3S7F,1.008,4.712
WX31D79H3Y66,0.99,6.587
WX31D79H3JPF,1.008,4.712
WX31D79H3H8V,1.008,4.712
WX31D79H31ED,0.972,6.587
WX31D79H3SZP,1.008,4.712
WX31D79H33NN,1.008,4.712
WX31D79H3644,0.99,6.587
WX31D79H35RU,1.026,6.812
WX31D79H35N8,1.008,4.712
WX31D79H3NAU,1.008,4.712
WX31D79H302D,1.008,4.712
WX31D79H3PZ9,1.026,6.812
WX31D79H36D0,1.026,6.812
WX31D79H3HN1,1.008,4.712
WX31D79H3S2X,1.008,4.712
WX31D79H3VTV,1.008,4.712
WX31D79H3FHK,1.026,6.812
WX31D79H3UEJ,1.026,6.812
WX31D79H3PAZ,1.026,6.812
WX31D79H3S4C,1.026,6.812
WX31D79H3A6P,1.044,6.763
WX31D79H3NY0,1.044,6.763
WX31D79H397L,1.044,6.763
WX31D79H3PNJ,1.044,6.763
WX31D79H367Z,1.026,6.812
WX31D79H3TPS,1.008,4.712
WX31D79H30NE,1.008,4.712
WX31D79H341T,1.044,6.763
WX31D79H3E2J,1.026,6.812
WX31D79H33VE,1.008,4.712
WX31D79H32F7,1.026,6.812
WX31D79H3JP1,1.008,4.712
WX31D79H3X09,1.044,6.763
WX31D79H3YYR,1.044,6.763
WX31D79H33S5,1.008,4.712
WX31D79H37DV,1.026,6.812
WX31D79H3A6E,1.026,6.812
WX31D79H32Z3,1.044,6.763
WX31D79H3DTP,1.026,6.812
WX31D79H3VSE,1.026,6.812
WX31D79H3TLS,1.026,6.812
WX31D79H39Z7,1.026,6.812
WX31D79H3L9Z,1.044,6.763
WX31D79H3H34,1.044,6.763
WX31D79H322T,1.044,6.763
WX31D79H3UDZ,1.026,6.812
WX31D79H3HYH,1.044,6.763
WX31D79H3L5X,1.044,6.763
WX31D79H3HH9,1.026,6.812
WX31D79H3FXL,1.026,6.812
WX31D79H3PPZ,1.008,4.712
WX31D79H3ZVX,1.026,6.812
WX31D79H3J6V,1.026,6.812
WX31D79H3ZL2,1.026,6.812
WX31D79H3956,1.026,6.812
WX31D79H33ZV,1.026,6.812
WX31D79H35X6,1.044,6.763
WX31D79H3X8E,1.008,4.712
WX31D79H3Z1F,1.044,6.763
WX31D79H373K,1.026,6.812
WX31D79H3516,0.99,6.587
WX31D79H3XU8,1.044,6.763
WX31D79H3TXA,1.044,6.763
WX31D79H3ZR3,1.008,4.712
WX31D79H36X9,1.026,6.812
WX31D79H3YT1,1.044,6.763
WX31D79H3KDE,1.044,6.763
WX31D79H3NLJ,1.044,6.763
WX31D79H3V9L,1.008,4.712
WX31D79H3PPT,1.008,4.712
WX31D79H3XTX,1.008,4.712
WX31D79H3162,1.008,4.712
WX31D79H3Z59,1.026,6.812
WX31D79H3Z0X,1.026,6.812
WX31D79H3RAF,1.026,6.812
WX31D79H3FC9,1.008,4.712
WX31D79H3PFA,1.026,6.812
WX31D79H36FF,1.026,6.812
WX31D79H3VLT,1.026,6.812
WX31D79H3ZJP,1.026,6.812
WX31D79H384P,1.026,6.812
WX31D79H37N5,1.026,6.812
WX31D79H3036,1.026,6.812
WX31D79H34ZC,1.044,6.763
WX31D79H3544,1.008,4.712
WX31D79H390R,1.026,6.812
WX31D79H341T,1.044,6.763
WX31D79H336R,1.044,6.763
WX31D79H3XPD,1.044,6.763
WX31D79H3UE3,1.008,4.712
WX31D79H3K7A,1.044,6.763
WX31D79H3DYH,1.008,4.712
WX31D79H38PU,1.044,6.763
WX31D79H30Y0,1.026,6.812
WX31D79H3X9R,1.026,6.812
WX31D79H3D20,0.99,6.587
WX31D79H3LDE,1.008,4.712
WX31D79H3TYL,1.026,6.812
WX31D79H3955,1.044,6.763
WX31D79H3UTY,1.008,4.712
WX31D79H3X6K,0.99,6.587
WX31D79H3NDP,1.008,4.712
WX31D79H32J0,1.044,6.763
WX31D79H37DU,1.044,6.763
WX31D79H3J39,1.008,4.712
WX31D79H3A4Z,1.026,6.812
WX31D79H3KEF,1.026,6.812
WX31D79H3S0Z,1.008,4.712
WX31D79H3D9X,1.008,4.712
WX31D79H3D75,1.044,6.763
WX31D79H362E,1.008,4.712
WX31D79H3FAF,1.026,6.812
WX31D79H37Y9,0.99,6.587
WX31D79H30Y4,1.008,4.712
WX31D79H31A3,1.044,6.763
WX31D79H3F28,1.026,6.812
WX31D79H3D3A,1.026,6.812
WX31D79H3H0N,1.026,6.812
WX31D79H3YJU,1.008,4.712
WX31D79H3982,1.008,4.712
WX31D79H34C8,1.026,6.812
WX31D79H3JXJ,1.008,4.712
WX31D79H3HV8,0.99,6.587
WX31D79H3YAN,1.044,6.763
WX31D79H3PU2,0.99,6.587
WX31D79H3PL3,1.044,6.763
WX31D79H3D5Y,1.008,4.712
WX31D79H353X,1.008,4.712
WX31D79H31FY,1.026,6.812
WX31D79H3FYV,0.99,6.587
WX31D79H31HJ,1.026,6.812
WX31D79H33A2,1.026,6.812
WX31D79H353N,1.044,6.763
WX31D79H369D,1.026,6.812
WX31D79H33P5,1.008,4.712
WX31D79H31Y9,1.026,6.812
WX31D79H3DRN,1.008,4.712
WX31D79H3Z9Y,1.044,6.763
WX31D79H3KUF,1.026,6.812
WX31D79H3UVU,1.044,6.763
WX31D79H36XP,1.044,6.763
WX31D79H3AZ4,1.026,6.812
WX31D79H39KV,1.008,4.712
WX31D79H3PNR,1.026,6.812
WX31D79H3ZHU,1.026,6.812
WX31D79H34SY,0.99,6.587
WX31D79H3Y05,1.044,6.763
WX31D79H3XE0,0.99,6.587
WX31D79H3PY6,1.044,6.763
WX31D79H3Y09,1.026,6.812
WX31D79H305R,1.008,4.712
WX31D79H3V37,1.008,4.712
WX31D79H3UCE,1.026,6.812
WX31D79H3UAL,1.026,6.812
WX31D79H3LRD,1.026,6.812
WX31D79H35H0,0.99,6.587
WX31D79H37SJ,1.026,6.812
WX31D79H3720,1.044,6.763
WX31D79H3TN1,1.008,4.712
WX31D79H3YYS,1.026,6.812
WX31D79H30F7,1.008,4.712
WX31D79H30E4,1.026,6.812
WX31D79H3Y9F,0.99,6.587
WX31D79H31SN,1.026,6.812
WX31D79H3R1X,1.026,6.812
WX31D79H33YX,1.026,6.812
WX31D79H36Y3,0.99,6.587
WX31D79H334K,1.044,6.763
WX31D79H3FSV,1.026,6.812
WX31D79H3SH6,1.008,4.712
WX31D79H3Z36,1.008,4.712
WX31D79H3K06,0.99,6.587
WX31D79H32DD,1.026,6.812
WX31D79H3ZXJ,1.008,4.712
WX31D79H340R,1.008,4.712
WX31D79H3JS1,1.008,4.712
WX31D79H34XZ,1.008,4.712
WX31D79H3R9F,0.99,6.587
WX31D79H31E5,1.026,6.812
WX31D79H39AE,0.99,6.587
WX31D79H3VS3,1.008,4.712
WX31D79H3HEC,1.008,4.712
WX31D79H3XNC,1.008,4.712
WX31D79H3K2V,1.008,4.712
WX31D79H32PZ,1.026,6.812
WX31D79H3YFL,1.008,4.712
WX31D79H3H46,0.99,6.587
WX31D79H3R02,1.026,6.812
WX31D79H30DH,1.026,6.812
WX31D79H3CNV,1.026,6.812
WX31D79H3EH1,1.026,6.812
WX31D79H32TX,0.99,6.587
WX31D79H3385,1.044,6.763
WX31D79H309U,1.026,6.812
WX31D79H3468,1.008,4.712
WX31D79H30AR,0.99,6.587
WX31D79H3DDK,0.99,6.587
WX31D79H32L5,0.99,6.587
WX31D79H3ACK,1.008,4.712
WX31D79H3UH7,1.044,6.763
WX31D79H3TL3,1.026,6.812
WX31D79H33HR,1.026,6.812
WX31D79H37ZA,0.99,6.587
WX31D79H3L8D,1.026,6.812
WX31D79H3359,1.026,6.812
WX31D79H355K,1.026,6.812
WX31D79H3N64,1.044,6.763
WX31D79H3834,1.026,6.812
WX31D79H3PX7,1.044,6.763
WX31D79H332P,1.026,6.812
WX31D79H3HLJ,1.008,4.712
WX31D79H3FY7,1.044,6.763
WX31D79H3K3A,1.026,6.812
WX31D79H3613,1.026,6.812
WX31D79H3CU9,1.026,6.812
WX31D79H3JHR,1.044,6.763
WX31D79H3N79,1.044,6.763
WX31D79H39HN,1.026,6.812
WX31D79H3S0C,1.008,4.712
WX31D79H313S,1.008,4.712
WX31D79H3DEJ,1.008,4.712
WX31D79H3N2E,1.008,4.712
WX31D79H34R2,0.99,6.587
WX31D79H376S,1.026,6.812
WX31D79H3EN9,1.008,4.712
WX31D79H3P3A,1.026,6.812
WX31D79H3ZVD,1.026,6.812
WX31D79H3DL8,1.026,6.812
WX31D79H3FU1,1.008,4.712
WX31D79H36S3,1.026,6.812
WX31D79H3XXV,1.008,4.712
WX31D79H3Z93,1.044,6.763
WX31D79H3J6P,0.99,6.587
WX31D79H30LF,1.026,6.812
WX31D79H3U11,1.026,6.812
WX31D79H3757,1.026,6.812
WX31D79H3Z62,1.044,6.763
WX31D79H3980,1.026,6.812
WX31D79H3X6U,1.026,6.812
WX31D79H3T0Y,1.044,6.763
WX31D79H3HJE,1.008,4.712
WX31D79H30V9,1.026,6.812
WX31D79H3X0H,1.026,6.812
WX31D79H3P2E,1.026,6.812
WX31D79H39L2,1.044,6.763
WX31D79H3FJE,1.008,4.712
WX31D79H3K4R,1.026,6.812
WX31D79H34SR,0.99,6.587
WX31D79H3554,0.99,6.587
WX31D79H3A8X,1.008,4.712
WX31D79H3FPZ,1.026,6.812
WX31D79H3VUJ,1.044,6.763
WX31D79H3JK8,1.008,4.712
WX31D79H3TCA,1.026,6.812
WX31D79H3J0C,1.008,4.712
WX31D79H3SFT,1.044,6.763
WX31D79H3LH4,1.008,4.712
WX31D79H328J,1.008,4.712
WX31D79H3R49,0.99,6.587
WX31D79H39ZY,1.026,6.812
WX31D79H373D,0.99,6.587
WX31D79H3V3C,1.044,6.763
WX31D79H3AZ0,1.026,6.812
WX31D79H30UA,0.99,6.587
WX31D79H390Y,0.99,6.587
WX31D79H3K8S,1.026,6.812
WX31D79H3TSL,1.026,6.812
WX31D79H328E,1.026,6.812
WX31D79H3H0C,1.008,4.712
WX31D79H3UKP,1.008,4.712
WX31D79H31KY,1.026,6.812
WX31D79H3KUV,1.008,4.712
WX31D79H3096,1.008,4.712
WX31D79H38FV,0.99,6.587
WX31D79H3P54,1.026,6.812
WX31D79H3PER,1.008,4.712
WX31D79H3YYK,1.008,4.712
WX31D79H3H5Z,1.044,6.763
WX31D79H3VLY,1.044,6.763
WX31D79H3U84,0.99,6.587
WX31D79H3AFY,1.008,4.712
WX31D79H36K2,1.008,4.712
WX31D79H3F9U,1.008,4.712
WX31D79H370K,1.026,6.812
WX31D79H3U91,1.026,6.812
WX31D79H3LLC,1.044,6.763
WX31D79H39AS,1.044,6.763
WX31D79H3YYZ,1.044,6.763
WX31D79H3TTP,1.044,6.763
WX31D79H366T,1.026,6.812
WX31D79H3Z57,1.026,6.812
WX31D79H3090,1.044,6.763
WX31D79H32R3,1.026,6.812
WX31D79H3C2N,1.044,6.763
WX31D79H3UPE,1.008,4.712
WX31D79H33EA,1.008,4.712
WX31D79H3Y2N,1.044,6.763
WX31D79H3SZU,1.044,6.763
WX31D79H3NYV,1.026,6.812
WX31D79H3KT2,1.026,6.812
WX31D79H35PY,1.026,6.812
WX31D79H3T4K,1.026,6.812
WX31D79H336X,1.044,6.763
WX31D79H3J87,1.044,6.763
WX31D79H3JRV,1.008,4.712
WX31D79H3CAD,1.044,6.763
WX31D79H3TSY,1.044,6.763
WX31D79H3XU1,1.026,6.812
WX31D79H33UE,1.044,6.763
WX31D79H3TXR,1.026,6.812
WX31D79H3231,1.026,6.812
WX31D79H3TYK,1.044,6.763
WX31D79H394F,1.026,6.812
WX31D79H3K88,1.026,6.812
WX31D79H3HA3,1.008,4.712
WX31D79H3JHA,1.026,6.812
WX31D79H3AL2,0.99,6.587
WX31D79H32NJ,1.044,6.763
WX31D79H3739,1.044,6.763
WX31D79H3004,1.026,6.812
WX31D79H343Y,1.044,6.763
WX31D79H3SL0,1.044,6.763
WX31D79H3TT9,1.026,6.812
WX31D79H3L45,1.026,6.812
WX31D79H3947,1.044,6.763
WX31D79H3NVV,1.026,6.812
WX31D79H3CDZ,1.008,4.712
WX31D79H3LFS,1.026,6.812
WX31D79H3678,1.026,6.812
WX31D79H3EXL,1.008,4.712
WX31D79H3485,1.044,6.763
WX31D79H3A33,1.008,4.712
WX31D79H33J9,1.044,6.763
WX31D79H3JTD,1.044,6.763
WX31D79H37FE,1.026,6.812
WX31D79H33DK,1.044,6.763
WX31D79H3YSX,0.99,6.587
WX31D79H3A1D,1.044,6.763
WX31D79H3DJS,1.044,6.763
WX31D79H3NJ3,1.026,6.812
WX31D79H3TAV,1.026,6.812
WX31D79H37DL,1.044,6.763
WX31D79H3NTY,1.008,4.712
WX31D79H33SD,1.044,6.763
WX31D79H35JD,1.008,4.712
WX31D79H3DCN,1.026,6.812
WX31D79H32LR,1.026,6.812
WX31D79H3Z53,1.044,6.763
WX31D79H3P0Y,0.99,6.587
WX31D79H3ZN1,1.026,6.812
WX31D79H3JSH,1.044,6.763
WX31D79H3YY5,1.026,6.812
WX31D79H3RA2,1.008,4.712
WX31D79H3AC0,1.008,4.712
WX31D79H3D2R,1.026,6.812
WX31D79H3C5S,1.044,6.763
WX31D79H3JTA,1.044,6.763
WX31D79H35L8,1.008,4.712
WX31D79H34TC,1.026,6.812
WX31D79H3FLP,1.008,4.712
WX31D79H3TZN,1.026,6.812
WX31D79H37T9,1.026,6.812
WX31D79H3ZR0,1.008,4.712
WX31D79H3LRS,0.972,6.587
WX31D79H3CNZ,1.008,4.712
WX31D79H34D2,1.044,6.763
WX31D79H3EX3,1.008,4.712
WX31D79H3LNZ,1.026,6.812
WX31D79H3F54,1.044,6.763
WX31D79H37YU,1.026,6.812
WX31D79H3PCV,1.026,6.812
WX31D79H36RV,1.044,6.763
WX31D79H3CSZ,1.008,4.712
WX31D79H3VNC,0.99,6.587
WX31D79H39VZ,1.044,6.763
WX31D79H34U5,1.026,6.812
WX31D79H3SLV,1.026,6.812
WX31D79H3XUC,1.026,6.812
WX31D79H3RSE,0.99,6.587
WX31D79H3V4T,1.026,6.812
WX31D79H33VX,1.008,4.712
WX31D79H3NX6,1.008,4.712
WX31D79H3L3R,1.026,6.812
WX31D79H3R17,1.026,6.812
WX31D79H3TFK,1.008,4.712
WX31D79H3DAN,1.008,4.712
WX31D79H3D19,1.026,6.812
WX31D79H35FK,1.026,6.812
WX31D79H35YC,1.008,4.712
WX31D79H3X7D,1.026,6.812
WX31D79H326H,1.008,4.712
WX31D79H3YAV,1.008,4.712
WX31D79H3RN6,1.026,6.812
WX31D79H31EH,1.026,6.812
WX31D79H3XNS,1.026,6.812
WX31D79H3XJZ,0.99,6.587
WX31D79H3JJ3,1.044,6.763
WX31D79H3KF0,0.99,6.587
WX31D79H38JK,1.026,6.812
WX31D79H37R3,0.99,6.587
WX31D79H3DDL,1.026,6.812
WX31D79H3LC1,1.008,4.712
WX31D79H3H9N,1.026,6.812
WX31D79H333Y,1.008,4.712
WX31D79H391T,1.008,4.712
WX31D79H3N60,1.008,4.712
WX31D79H3U0S,0.99,6.587
WX31D79H388J,1.026,6.812
WX31D79H38ER,0.99,6.587
WX31D79H3N3Z,0.972,6.587
WX31D79H3FZX,1.008,4.712
WX31D79H3C27,1.044,6.763
WX31D79H3HAR,1.026,6.812
WX31D79H3TZ5,1.008,4.712
WX31D79H3L87,1.026,6.812
WX31D79H30XE,1.026,6.812
WX31D79H3D77,1.026,6.812
WX31D79H3A8X,1.008,4.712
WX31D79H3DFJ,1.026,6.812
WX31D79H3AZ4,1.026,6.812
WX31D79H3VS3,1.008,4.712
WX31D79H3PNR,0.99,6.587
WX31D79H3Z93,1.008,4.712
WX31D79H328J,1.026,6.812
WX31D79H3SFT,1.008,4.712
WX31D79H3TCA,1.026,6.812
WX31D79H3VUJ,1.026,6.812
WX31D79H3Z62,1.044,6.763
WX31D79H3P70,1.008,4.712
WX31D79H3016,1.026,6.812
WX31D79H3STS,1.026,6.812
WX31D79H3PKF,1.026,6.812
WX31D79H33TV,1.026,6.812
WX31D79H3H6F,1.044,6.763
WX31D79H3ADN,1.008,4.712
WX31D79H3CY9,1.026,6.812
WX31D79H3149,1.026,6.812
WX31D79H34SR,1.008,4.712
WX31D79H302L,0.99,6.587
WX31D79H31U2,1.008,4.712
WX31D79H32TR,1.044,6.763
WX31D79H3D2U,1.044,6.763
WX31D79H3YDS,1.026,6.812
WX31D79H37N3,1.044,6.763
WX31D79H374D,1.026,6.812
WX31D79H3NS7,1.008,4.712
WX31D79H39ZY,1.026,6.812
WX31D79H36S3,1.026,6.812
WX31D79H3N2E,0.99,6.587
WX31D79H390Y,1.008,4.712
WX31D79H3V3C,1.026,6.812
WX31D79H3739,1.026,6.812
WX31D79H3CDZ,1.008,4.712
WX31D79H3678,0.99,6.587
WX31D79H394F,1.026,6.812
WX31D79H3K6C,1.044,6.763
WX31D79H3KLT,1.044,6.763
WX31D79H3ACS,1.026,6.812
WX31D79H3KC8,1.008,4.712
WX31D79H3RKU,1.026,6.812
WX31D79H38VY,1.026,6.812
WX31D79H3A47,1.008,4.712
WX31D79H3KDL,1.026,6.812
WX31D79H3JD0,1.008,4.712
WX31D79H3N0V,1.026,6.812
WX31D79H3JRX,1.026,6.812
WX31D79H3ZZ6,1.026,6.812
WX31D79H3KAZ,1.026,6.812
WX31D79H3THE,1.026,6.812
WX31D79H38KP,1.044,6.763
WX31D79H39UE,1.008,4.712
WX31D79H373R,1.026,6.812
WX31D79H32UH,1.008,4.712
WX31D79H3VLY,1.026,6.812
WX31D79H35H0,0.99,6.587
WX31D79H3KRV,0.99,6.587
WX31D79H313H,0.99,6.587
WX31D79H3919,1.008,4.712
WX31D79H3FZA,1.044,6.763
WX31D79H3D7U,1.026,6.812
WX31D79H3P1L,1.026,6.812
WX31D79H38CL,1.026,6.812
WX31D79H3FY2,0.99,6.587
WX31D79H3THR,1.044,6.763
WX31D79H38JZ,1.026,6.812
WX31D79H3PUJ,1.026,6.812
WX31D79H3HFP,1.026,6.812
WX31D79H36H3,1.044,6.763
WX31D79H3RKT,1.008,4.712
WX31D79H34KT,0.99,6.587
WX31D79H3JLJ,1.026,6.812
WX31D79H34RH,1.008,4.712
WX31D79H3436,1.026,6.812
WX31D79H3C2D,1.008,4.712
WX31D79H3EH0,1.026,6.812
WX31D79H3SST,1.008,4.712
WX31D79H3NKR,1.044,6.763
WX31D79H3PS9,1.026,6.812
WX31D79H3X5H,1.008,4.712
WX31D79H3CX4,1.026,6.812
WX31D79H3P4K,1.044,6.763
WX31D79H3VRZ,1.008,4.712
WX31D79H3L2E,0.99,6.587
WX31D79H3LJH,0.99,6.587
WX31D79H3LU3,1.026,6.812
WX31D79H3JUZ,0.99,6.587
WX31D79H3X79,0.972,6.587
WX31D79H355N,1.008,4.712
WX31D79H3H0Y,1.026,6.812
WX31D79H3N50,1.008,4.712
WX31D79H3LJ8,1.008,4.712
WX31D79H3666,0.954,6.587
WX31D79H3H4S,1.008,4.712
WX31D79H34T1,1.008,4.712
